imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1286.666626,0.0005977298715,1286.666626,0.000325741712,1286.666626,-2.293436228E-005,1286.666626,0.0007045919192,1286.666626,0.000178002505,
1286,0.0005660807365,1286,0.0002931539784,1286,-7.739214925E-005,1286,0.0006892428501,1286,0.0001447007817,
1285.333374,0.0005848470028,1285.333374,0.0003197835176,1285.333374,-3.887898492E-005,1285.333374,0.0007076255279,1285.333374,0.0001434837322,
1284.666626,0.0006193749723,1284.666626,0.0003754829231,1284.666626,1.384921416E-005,1284.666626,0.0007613261114,1284.666626,0.0001787535002,
1284,0.0005836805794,1284,0.0003045516205,1284,-2.407328248E-005,1284,0.0007307800115,1284,0.0001579072268,
1283.333374,0.0005889165914,1283.333374,0.0003232289164,1283.333374,-1.009541029E-005,1283.333374,0.0007429152029,1283.333374,0.000157751856,
1282.666626,0.0005710314144,1282.666626,0.000336078112,1282.666626,-3.137265958E-005,1282.666626,0.0007758219726,1282.666626,0.0001399879839,
1282,0.0005902904086,1282,0.000343616819,1282,3.882912551E-006,1282,0.0007558286889,1282,0.0001475491881,
1281.333374,0.0006008922937,1281.333374,0.0003546531079,1281.333374,3.416961363E-006,1281.333374,0.0007940527285,1281.333374,0.0001633452921,
1280.666626,0.000609446608,1280.666626,0.0003396272368,1280.666626,-2.847447149E-006,1280.666626,0.0008157076081,1280.666626,0.0001691200741,
1280,0.0005910939653,1280,0.0003457670682,1280,1.413396876E-005,1280,0.0008136068936,1280,0.0001742475142,
1279.333374,0.0005875427742,1279.333374,0.000352528732,1279.333374,-1.247685759E-005,1279.333374,0.0008061897242,1279.333374,0.000139521886,
1278.666626,0.0005841989769,1278.666626,0.0003334356879,1278.666626,-1.366757624E-005,1278.666626,0.0007838610327,1278.666626,0.0001346537902,
1278,0.0006549945101,1278,0.0003778405953,1278,2.661159124E-005,1278,0.0008571531507,1278,0.0002040552499,
1277.333374,0.0006194527377,1277.333374,0.0003692390455,1277.333374,3.474035839E-005,1277.333374,0.0008376748301,1277.333374,0.000171088177,
1276.666626,0.0005767338444,1276.666626,0.0003363112628,1276.666626,4.400636954E-006,1276.666626,0.0008248107624,1276.666626,0.0001599788666,
1276,0.0006096540019,1276,0.0003432541271,1276,1.076869648E-005,1276,0.0008276377339,1276,0.0001458919287,
1275.333374,0.0005958894617,1275.333374,0.0003405080643,1275.333374,1.874184636E-005,1275.333374,0.0008314243169,1275.333374,0.0001596422226,
1274.666626,0.0005850543967,1274.666626,0.0003234879696,1274.666626,1.812018127E-007,1274.666626,0.0008275080472,1274.666626,0.0001609628962,
1274,0.0006060507731,1274,0.0003472437384,1274,2.614561527E-005,1274,0.0008597468841,1274,0.0001688870107,
1273.333374,0.0005626593484,1273.333374,0.000345145294,1273.333374,7.972951607E-006,1273.333374,0.0008518360555,1273.333374,0.0001617656526,
