0.0% TFA,,0.017% TFA,,0.017% TFA + triethylamine,,0.05% TFA,,0.05% TFA + triethylamine,,0.25% TFA,,0.25% TFA + triethylamine,,1.0% TFA,,1.0% TFA + triethylamine,,0.1% TFA,,0.1% TFA + triethylamine,,0.5% TFA,,0.5% TFA + triethylamine,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1360.666626,0.0002976612013,1360.666626,0.00604304485,1360.666626,0.0009449072531,1360.666626,0.01405907888,1360.666626,0.001113435486,1360.666626,0.09625203162,1360.666626,0.002071122872,1360.666626,0.2247831821,1360.666626,0.004360696301,1360.666626,0.04597001895,1360.666626,0.005307392683,1360.666626,0.1740005314,1360.666626,0.004067632835,
1360,0.0003185141832,1360,0.006062101573,1360,0.0009660248179,1360,0.01414983626,1360,0.001118107,1360,0.09651678056,1360,0.002055413323,1360,0.2249428779,1360,0.004371102899,1360,0.04613948986,1360,0.005394713953,1360,0.1743580848,1360,0.004132857081,
1359.333374,0.0002328290284,1359.333374,0.005958427209,1359.333374,0.0008627815405,1359.333374,0.01408522949,1359.333374,0.001005953876,1359.333374,0.09672033787,1359.333374,0.001950922539,1359.333374,0.2250915468,1359.333374,0.004213041626,1359.333374,0.04619643465,1359.333374,0.005296570715,1359.333374,0.1747219712,1359.333374,0.003974098712,
1358.666626,0.000265386363,1358.666626,0.006053439341,1358.666626,0.0009356459486,1358.666626,0.01421926729,1358.666626,0.001057096408,1358.666626,0.09701421112,1358.666626,0.001971049001,1358.666626,0.2253461629,1358.666626,0.004230946768,1358.666626,0.04640858993,1358.666626,0.005378254689,1358.666626,0.1751290858,1358.666626,0.004035703372,
1358,0.0002123686281,1358,0.005955094472,1358,0.0008175749099,1358,0.01415809989,1358,0.0009324031998,1358,0.09713634104,1358,0.00186252303,1358,0.22545591,1358,0.004131837748,1358,0.04648628458,1358,0.005197375081,1358,0.1754325032,1358,0.003888943233,
1357.333374,0.0002317412291,1357.333374,0.00601477595,1357.333374,0.0008460521931,1357.333374,0.0142537998,1357.333374,0.000957567303,1357.333374,0.09742369503,1357.333374,0.00184133579,1357.333374,0.2256672978,1357.333374,0.004111898132,1357.333374,0.04665857926,1357.333374,0.005188782234,1357.333374,0.1758899242,1357.333374,0.003909708001,
1356.666626,0.0001736519043,1356.666626,0.005957613699,1356.666626,0.0007791672833,1356.666626,0.0142323738,1356.666626,0.0008931553457,1356.666626,0.09759879857,1356.666626,0.001752854558,1356.666626,0.2258077711,1356.666626,0.003977495246,1356.666626,0.0467726402,1356.666626,0.005068423226,1356.666626,0.1762329936,1356.666626,0.003796727397,
1356,0.0001203346474,1356,0.005923341028,1356,0.0007117481437,1356,0.01418928429,1356,0.0007650083862,1356,0.09779407084,1356,0.001635288703,1356,0.2259417176,1356,0.003846084466,1356,0.04683465883,1356,0.004884923808,1356,0.1765504926,1356,0.003638431663,
1355.333374,0.0001427327952,1355.333374,0.005935307592,1355.333374,0.0007171931211,1355.333374,0.01427699253,1355.333374,0.0008125954773,1355.333374,0.09807299823,1355.333374,0.001591768349,1355.333374,0.22617805,1355.333374,0.003845744766,1355.333374,0.0470100604,1355.333374,0.00479814969,1355.333374,0.1769863665,1355.333374,0.003654798958,
1354.666626,0.0001217846657,1354.666626,0.005948008969,1354.666626,0.0006625906099,1354.666626,0.01429395285,1354.666626,0.0007385329809,1354.666626,0.09830085188,1354.666626,0.00156786642,1354.666626,0.2263509929,1354.666626,0.003801166778,1354.666626,0.04715583846,1354.666626,0.004633183125,1354.666626,0.1773717254,1354.666626,0.003591891145,
1354,0.0001709327917,1354,0.006007505581,1354,0.0007207194576,1354,0.01436752733,1354,0.0007434078725,1354,0.09857195616,1354,0.001550850226,1354,0.2265561074,1354,0.003813414136,1354,0.04732802138,1354,0.004585567862,1354,0.177771315,1354,0.003618436633,
1353.333374,0.0001221212879,1353.333374,0.005973150022,1353.333374,0.0006652868469,1353.333374,0.01439704094,1353.333374,0.0007068736013,1353.333374,0.09873176366,1353.333374,0.001511572395,1353.333374,0.2266562134,1353.333374,0.00372988265,1353.333374,0.04744021222,1353.333374,0.004419086501,1353.333374,0.1780872047,1353.333374,0.00352288573,
1352.666626,8.543209697E-005,1352.666626,0.005972809158,1352.666626,0.0006350326585,1352.666626,0.01442674454,1352.666626,0.0006926392671,1352.666626,0.098950468,1352.666626,0.001484817709,1352.666626,0.2268556207,1352.666626,0.00368066947,1352.666626,0.04757747054,1352.666626,0.004335543141,1352.666626,0.1784708947,1352.666626,0.003524868982,
