imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
447.333313,0.1449848861,447.333313,0.138988331,447.333313,0.1413558275,447.333313,0.1333014965,447.333313,0.1225829199,
446.666626,0.1446359605,446.666626,0.1385013759,446.666626,0.1408013105,446.666626,0.1326972395,446.666626,0.1222891435,
445.9999695,0.144318983,445.9999695,0.1381528676,445.9999695,0.1403327435,445.9999695,0.1325323135,445.9999695,0.1218205169,
445.333313,0.1439785808,445.333313,0.1378238648,445.333313,0.1398708671,445.333313,0.1320521235,445.333313,0.1217649058,
444.666626,0.1437480152,444.666626,0.1376599222,444.666626,0.1393570602,444.666626,0.1316411942,444.666626,0.1213081405,
443.9999695,0.1432040483,443.9999695,0.137072295,443.9999695,0.1388566196,443.9999695,0.131145075,443.9999695,0.1210229844,
443.333313,0.1428319961,443.333313,0.1366821975,443.333313,0.1382695138,443.333313,0.1305927336,443.333313,0.1206020936,
442.666626,0.1426316798,442.666626,0.1364994794,442.666626,0.1378339231,442.666626,0.1302966028,442.666626,0.1202699691,
441.9999695,0.1421684623,441.9999695,0.1358432323,441.9999695,0.1372002661,441.9999695,0.1296748519,441.9999695,0.1198984161,
441.333313,0.1417489648,441.333313,0.1354289204,441.333313,0.1366632581,441.333313,0.1293518543,441.333313,0.1193964481,
440.666626,0.1414891183,440.666626,0.1351501346,440.666626,0.1362111419,440.666626,0.1287414581,440.666626,0.1190688834,
439.9999695,0.1410510391,439.9999695,0.1346913278,439.9999695,0.1355838776,439.9999695,0.1282592416,439.9999695,0.1187856048,
439.333313,0.1405182034,439.333313,0.1342670321,439.333313,0.1351017952,439.333313,0.1278786063,439.333313,0.1183129624,
438.666626,0.1400887519,438.666626,0.1338769048,438.666626,0.134545669,438.666626,0.1274393201,438.666626,0.1180443689,
437.9999695,0.1396012455,437.9999695,0.1334885061,437.9999695,0.1340903342,437.9999695,0.1268839538,437.9999695,0.1178242937,
437.333313,0.1391922086,437.333313,0.1329254508,437.333313,0.1334547102,437.333313,0.1263289601,437.333313,0.1173226088,
436.666626,0.138801381,436.666626,0.132492587,436.666626,0.1329481155,436.666626,0.1260644048,436.666626,0.1169962361,
435.9999695,0.1383684725,435.9999695,0.1321183592,435.9999695,0.1324449629,435.9999695,0.1254940927,435.9999695,0.1167051271,
435.333313,0.1377751529,435.333313,0.1315900981,435.333313,0.1317135394,435.333313,0.1250090897,435.333313,0.1162276641,
434.666626,0.1371061206,434.666626,0.1309390813,434.666626,0.1309274286,434.666626,0.1242358983,434.666626,0.1158132553,
433.9999695,0.1367246509,433.9999695,0.1303631067,433.9999695,0.1304117888,433.9999695,0.1238650754,433.9999695,0.1155074984,
433.333313,0.1361888647,433.333313,0.1300229132,433.333313,0.1298945248,433.333313,0.1232466102,433.333313,0.1150880679,
432.666626,0.1358263195,432.666626,0.129643485,432.666626,0.1293731332,432.666626,0.1229476705,432.666626,0.114788048,
431.9999695,0.1351376176,431.9999695,0.1289919764,431.9999695,0.1287181228,431.9999695,0.1222851574,431.9999695,0.1144042164,
431.333313,0.134583652,431.333313,0.1282234639,431.333313,0.1280508935,431.333313,0.1216618493,431.333313,0.1140129119,
430.666626,0.1339541525,430.666626,0.1277719736,430.666626,0.127404511,430.666626,0.1210989952,430.666626,0.1135908812,
429.9999695,0.1334985048,429.9999695,0.1275840402,429.9999695,0.1269884259,429.9999695,0.1206054762,429.9999695,0.1133017093,
429.333313,0.1328545511,429.333313,0.1269694865,429.333313,0.1263671964,429.333313,0.1202323437,429.333313,0.1128931642,
428.666626,0.1320830286,428.666626,0.1263251603,428.666626,0.1256324202,428.666626,0.1196126863,428.666626,0.1123833954,
427.9999695,0.1314681768,427.9999695,0.125752151,427.9999695,0.1250267178,427.9999695,0.1190939471,427.9999695,0.112102896,
427.333313,0.1309423447,427.333313,0.1252600104,427.333313,0.1246093512,427.333313,0.1186601222,427.333313,0.1119742766,
426.666626,0.1302793026,426.666626,0.1246817857,426.666626,0.1238742322,426.666626,0.1181377321,426.666626,0.1114211157,
425.9999695,0.129808262,425.9999695,0.1242533699,425.9999695,0.1232332736,425.9999695,0.1176511273,425.9999695,0.1111773849,
425.333313,0.1289628893,425.333313,0.1236051023,425.333313,0.1226487011,425.333313,0.116939716,425.333313,0.1106147841,
424.666626,0.128294304,424.666626,0.1228909492,424.666626,0.122007519,424.666626,0.1163818166,424.666626,0.1102202684,
423.9999695,0.1276610345,423.9999695,0.1224544495,423.9999695,0.1213969365,423.9999695,0.1159767956,423.9999695,0.1098592803,
423.333313,0.1269371659,423.333313,0.1217006668,423.333313,0.1206441969,423.333313,0.1152913049,423.333313,0.1094839051,
422.666626,0.1263021976,422.666626,0.1211492494,422.666626,0.1202047169,422.666626,0.1148166806,422.666626,0.1092858315,
421.9999695,0.1255344152,421.9999695,0.1204618365,421.9999695,0.119382374,421.9999695,0.1143478602,421.9999695,0.1088020951,
421.333313,0.1247451529,421.333313,0.1197637841,421.333313,0.1187749505,421.333313,0.1136409193,421.333313,0.1084065288,
420.666626,0.1241096929,420.666626,0.1193652675,420.666626,0.1182769611,420.666626,0.113096416,420.666626,0.108103849,
419.9999695,0.123364307,419.9999695,0.1186115146,419.9999695,0.1175099909,419.9999695,0.1126808152,419.9999695,0.1076097861,
419.333313,0.1228349283,419.333313,0.1181411967,419.333313,0.1170986593,419.333313,0.1124433205,419.333313,0.1075513214,
418.666626,0.1219046488,418.666626,0.1175172925,418.666626,0.1164675802,418.666626,0.1115780249,418.666626,0.1070762947,
417.9999695,0.121090062,417.9999695,0.1168351546,417.9999695,0.1157874689,417.9999695,0.1110578552,417.9999695,0.1067834422,
417.333313,0.1202625558,417.333313,0.1161998957,417.333313,0.1151267737,417.333313,0.1104785204,417.333313,0.1063788384,
416.666626,0.1195637286,416.666626,0.1156777143,416.666626,0.1146509424,416.666626,0.1100784913,416.666626,0.106150113,
415.9999695,0.1187487543,415.9999695,0.1151507646,415.9999695,0.1141076609,415.9999695,0.109655343,415.9999695,0.1058285907,
