non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1314.666626,-0.0003949954989,1314.666626,-0.0003373184591,1314.666626,-0.0004688006302,1314.666626,-0.0002080733393,1314.666626,-0.0001737636194,1314.666626,0.0007811899995,1314.666626,0.0001260570716,
1314,-0.000384650426,1314,-0.0003293516929,1314,-0.0004504927492,1314,-0.0001835445,1314,-0.0001909446873,1314,0.0007838610327,1314,0.0001400915644,
1313.333374,-0.0003972196719,1313.333374,-0.0003316279326,1313.333374,-0.0004504927492,1313.333374,-0.0001927041594,1313.333374,-0.0001768686925,1313.333374,0.0007808528608,1313.333374,0.0001355859858,
1312.666626,-0.0003785466834,1312.666626,-0.0003134177241,1312.666626,-0.0004538544163,1312.666626,-0.0001935321488,1312.666626,-0.0001488188136,1312.666626,0.0008236436988,1312.666626,0.0001876879396,
1312,-0.0004081334337,1312,-0.0003262477112,1312,-0.0004219433467,1312,-0.0001655868546,1312,-0.0001847347448,1312,0.0007792450488,1312,0.0001374244603,
1311.333374,-0.0003668562567,1311.333374,-0.0003309036547,1311.333374,-0.0004234949884,1311.333374,-0.0001562195976,1311.333374,-0.0001484565437,1311.333374,0.0008280267357,1311.333374,0.0001842436322,
1310.666626,-0.0003733739723,1310.666626,-0.0003333868226,1310.666626,-0.0004208054452,1310.666626,-0.0001433328434,1310.666626,-0.0001528556313,1310.666626,0.000813866267,1310.666626,0.0001667117467,
1310,-0.000386771193,1310,-0.0003618903283,1310,-0.0004560782982,1310,-0.0001687437325,1310,-0.000165379839,1310,0.000778104004,1310,0.0001128257063,
1309.333374,-0.0004046162358,1309.333374,-0.0003486992791,1309.333374,-0.0004608879972,1309.333374,-0.000162015931,1309.333374,-0.0001881502249,1309.333374,0.0007808788214,1309.333374,9.920635785E-005,
1308.666626,-0.0003715635103,1308.666626,-0.0003237645142,1308.666626,-0.0004422694619,1308.666626,-0.0001628957252,1308.666626,-0.0001394512074,1308.666626,0.0007804898196,1308.666626,9.19825834E-005,
