non-imine undoped,,non-imine 10 min iodine doped,,non-imine 1 min iodine doped,,non-imine 30 min iodine doping,,non-imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1110.666626,-0.01393339317,1110.666626,0.009217928164,1110.666626,0.01544917375,1110.666626,0.0100274682,1110.666626,-0.004844975658,1110.666626,-0.009295127355,1110.666626,-0.003924800083,
1110,-0.01385808084,1110,0.009158466011,1110,0.01556002162,1110,0.01007817406,1110,-0.004786811303,1110,-0.009280077182,1110,-0.003965483978,
1109.333374,-0.01397345122,1109.333374,0.00891063083,1109.333374,0.01542677637,1109.333374,0.01011733338,1109.333374,-0.004909223877,1109.333374,-0.009259146638,1109.333374,-0.003979283851,
1108.666626,-0.01396106835,1108.666626,0.00905801449,1108.666626,0.0154781444,1108.666626,0.01005830429,1108.666626,-0.004778618459,1108.666626,-0.009181548841,1108.666626,-0.003911870997,
1108,-0.01392572187,1108,0.009037821554,1108,0.01559903473,1108,0.0100836847,1108,-0.004585326184,1108,-0.009193410166,1108,-0.00377701316,
1107.333374,-0.01394622773,1107.333374,0.008969055489,1107.333374,0.01537734643,1107.333374,0.009973563254,1107.333374,-0.004528971855,1107.333374,-0.009222199209,1107.333374,-0.003866204526,
1106.666626,-0.01394246798,1106.666626,0.009122300893,1106.666626,0.01556576416,1106.666626,0.009961538017,1106.666626,-0.00467501767,1106.666626,-0.009184437804,1106.666626,-0.003885292681,
1106,-0.0141488798,1106,0.009003569372,1106,0.01543804258,1106,0.009932138957,1106,-0.004656117875,1106,-0.009238671511,1106,-0.003951427061,
1105.333374,-0.01415379066,1105.333374,0.009074191563,1105.333374,0.01546070818,1105.333374,0.009931026958,1105.333374,-0.004745231476,1105.333374,-0.009335463867,1105.333374,-0.004130950663,
1104.666626,-0.01412146725,1104.666626,0.009017655626,1104.666626,0.01552554686,1104.666626,0.009836089797,1104.666626,-0.004807804711,1104.666626,-0.009261376224,1104.666626,-0.003954043612,
